0,,
49,,
M-D-Y,HH:MM/s,mm/h
,0,1.864977621
,300,9.799441815
,600,10.70607945
,900,11.81029392
,1200,13.19333178
,1500,14.96413727
,1800,17.31105465
,2100,20.57568874
,2400,25.39877938
,2700,33.17998304
,3000,47.60863168
,3300,81.87621057
,3600,231.6653042
,3900,173.0865418
,4200,71.81271747
,4500,43.83251362
,4800,31.26699609
,5100,24.25948117
,5400,19.82600467
,5700,16.78295207
,6000,14.5708301
,6300,12.89050373
,6600,11.5702473
,6900,10.51034913
,7200,9.636948715
,7500,0
,7800,0
,8100,0
,8400,0
,8700,0
,9000,0
,9300,0
,9600,0
,9900,0
,10200,0
,10500,0
,10800,0
,11100,0
,11400,0
,11700,0
,12000,0
,12300,0
,12600,0
,12900,0
,13200,0
,13500,0
,13800,0
,14100,0
,14400,0
