0,,
49,,
M-D-Y,HH:MM/s,mm/h
,0,0
,600,13.8
,1200,57.6
,1800,19.8
,2400,14.4
,3000,17.4
,3600,14.4
,4200,15.6
,4800,12.6
,5400,18
,6000,3
,6600,0
,7200,1.2
,7800,0
,8400,0
,9000,0
,9600,0
,10200,1.2
,10800,42
,11400,65.4
,12000,30.6
,12600,15
,13200,42
,13800,7.8
,14400,1.2
,15000,0
,15600,0
,16200,0
,16800,0.6
,17400,0.6
,18000,0
,18600,0
,19200,0.6
,19800,0.6
,20400,0
,21000,0
,21600,0
,22200,0
,22800,0.6
,23400,0
,24000,0
,24600,0
,25200,0
,25800,0
,26400,0
,27000,0
,27600,0
,28200,0
,28800,0
